e0,e1,e2,e4,e5,e6,e9,e10,e11,e15,e18,e21,e22,e23
503,64.0,87.0,86.0,62.0,76.0,90.0,86.0,73.0,74.0,78.0,80.0,72.0,82
504,100.0,97.0,99.0,77.0,96.0,93.0,100.0,100.0,98.0,95.0,90.0,60.0,94
505,100.0,100.0,98.0,75.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
506,100.0,100.0,99.0,99.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,99.0,99
507,75.0,78.0,100.0,67.0,69.0,100.0,75.0,76.0,83.0,72.0,79.0,63.0,85
508,99.0,99.0,91.0,85.0,86.0,94.0,96.0,98.0,76.0,99.0,78.0,68.0,60
509,100.0,100.0,100.0,50.0,50.0,51.0,76.0,50.0,80.0,65.0,91.0,50.0,50
510,99.0,100.0,100.0,88.0,86.0,100.0,100.0,89.0,90.0,100.0,81.0,83.0,99
512,100.0,100.0,100.0,70.0,76.0,100.0,76.0,92.0,89.0,94.0,100.0,65.0,76
513,42.0,87.0,83.0,74.0,87.0,88.0,36.0,74.0,61.0,52.0,47.0,80.0,51
514,99.0,100.0,98.0,87.0,85.0,92.0,88.0,100.0,85.0,100.0,100.0,87.0,94
516,50.0,61.0,64.0,50.0,37.0,72.0,50.0,50.0,36.0,50.0,50.0,29.0,50
517,100.0,100.0,100.0,62.0,62.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
518,97.0,99.0,99.0,75.0,100.0,73.0,50.0,98.0,100.0,100.0,99.0,50.0,100
519,91.0,100.0,88.0,47.0,65.0,100.0,100.0,100.0,70.0,71.0,86.0,78.0,100
520,88.0,92.0,81.0,94.0,91.0,91.0,82.0,94.0,76.0,66.0,78.0,91.0,87
521,100.0,100.0,99.0,98.0,98.0,100.0,100.0,98.0,99.0,99.0,97.0,35.0,100
524,77.0,81.0,92.0,59.0,75.0,93.0,100.0,93.0,72.0,93.0,72.0,35.0,74
525,73.0,91.0,90.0,84.0,90.0,94.0,92.0,78.0,82.0,96.0,89.0,90.0,89
526,95.0,100.0,100.0,100.0,85.0,55.0,96.0,100.0,50.0,85.0,96.0,39.0,100
527,81.0,91.0,87.0,66.0,76.0,73.0,54.0,76.0,74.0,78.0,61.0,67.0,85
528,74.0,91.0,81.0,68.0,69.0,69.0,59.0,69.0,73.0,69.0,72.0,77.0,59
529,98.0,100.0,100.0,100.0,75.0,100.0,97.0,97.0,84.0,100.0,66.0,88.0,66
530,50.0,50.0,100.0,26.0,50.0,100.0,100.0,33.0,90.0,100.0,85.0,90.0,84
531,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90
532,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88
533,100.0,100.0,100.0,96.0,86.0,100.0,100.0,100.0,86.0,100.0,100.0,100.0,100
534,76.0,93.0,49.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,89
535,24.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
536,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
537,96.0,97.0,97.0,93.0,97.0,98.0,96.0,92.0,96.0,97.0,97.0,74.0,96
538,88.0,81.0,62.0,83.0,84.0,97.0,95.0,94.0,72.0,81.0,90.0,79.0,75
539,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
540,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,100
541,100.0,100.0,100.0,84.0,85.0,100.0,100.0,100.0,51.0,88.0,100.0,85.0,100
542,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
543,84.0,56.0,78.0,100.0,100.0,67.0,78.0,64.0,100.0,100.0,63.0,57.0,87
544,97.0,97.0,98.0,57.0,63.0,79.0,97.0,61.0,96.0,97.0,60.0,66.0,45
545,74.0,100.0,100.0,74.0,84.0,100.0,100.0,100.0,50.0,75.0,70.0,50.0,84
547,79.0,96.0,96.0,75.0,78.0,79.0,87.0,82.0,90.0,89.0,71.0,85.0,83
548,98.0,100.0,100.0,59.0,84.0,100.0,98.0,99.0,95.0,93.0,93.0,57.0,98
549,90.0,74.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100
550,42.0,66.0,70.0,46.0,42.0,70.0,43.0,48.0,62.0,61.0,68.0,50.0,43
551,96.0,96.0,94.0,90.0,90.0,100.0,100.0,100.0,100.0,96.0,89.0,82.0,84
553,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
554,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,79.0,100
555,18.0,20.0,35.0,74.0,86.0,98.0,87.0,92.0,89.0,13.0,30.0,35.0,27
556,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,98.0,90.0,99.0,100
557,87.0,89.0,87.0,87.0,90.0,89.0,84.0,88.0,85.0,39.0,73.0,89.0,88
559,99.0,96.0,100.0,96.0,96.0,97.0,98.0,97.0,52.0,97.0,98.0,56.0,85
560,100.0,100.0,100.0,89.0,81.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,100
561,100.0,100.0,99.0,48.0,50.0,50.0,100.0,50.0,78.0,89.0,100.0,56.0,51
562,100.0,100.0,100.0,68.0,64.0,100.0,78.0,90.0,91.0,100.0,86.0,27.0,91
563,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0,100.0,35.0,58.0,100
566,86.0,86.0,90.0,89.0,85.0,90.0,98.0,83.0,90.0,84.0,86.0,64.0,89
567,96.0,95.0,97.0,90.0,90.0,94.0,92.0,96.0,91.0,95.0,87.0,53.0,87
568,100.0,100.0,100.0,100.0,56.0,100.0,100.0,100.0,100.0,100.0,34.0,69.0,100
569,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,100
570,80.0,88.0,84.0,80.0,81.0,68.0,91.0,79.0,88.0,100.0,86.0,89.0,64
571,50.0,53.0,68.0,52.0,50.0,80.0,70.0,66.0,71.0,77.0,58.0,76.0,71
572,92.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,38.0,91.0,68.0,52.0,88
573,93.0,96.0,97.0,80.0,91.0,95.0,73.0,85.0,63.0,96.0,61.0,79.0,89
576,84.0,90.0,89.0,74.0,69.0,94.0,91.0,83.0,90.0,88.0,87.0,82.0,86
577,100.0,100.0,100.0,87.0,70.0,100.0,85.0,83.0,87.0,92.0,92.0,25.0,94
578,92.0,90.0,30.0,85.0,76.0,100.0,95.0,95.0,55.0,73.0,70.0,72.0,99
579,75.0,72.0,73.0,90.0,82.0,100.0,70.0,86.0,84.0,100.0,70.0,69.0,89
580,98.0,99.0,98.0,50.0,50.0,67.0,50.0,85.0,41.0,97.0,97.0,72.0,95
582,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.0,100
